filename,width,height,class,xmin,ymin,xmax,ymax
175.jpg,300,168,can,109,12,193,159
175.jpg,300,168,can,195,12,289,158
176.jpg,728,496,can,192,10,640,443
177.jpg,612,408,can,38,46,479,367
178.jpg,389,450,can,35,35,162,263
178.jpg,389,450,can,37,257,162,430
178.jpg,389,450,can,232,43,376,265
178.jpg,389,450,can,239,260,365,432
179.jpg,225,225,can,2,16,114,207
179.jpg,225,225,can,119,59,223,193
180.jpg,1024,1024,can,179,9,575,727
180.jpg,1024,1024,can,305,444,988,1005
181.jpg,1300,1201,can,163,198,1063,875
182.jpg,486,375,can,228,90,483,348
182.jpg,486,375,can,5,186,326,366
182.jpg,486,375,can,111,3,273,237
183.jpg,275,183,can,215,36,273,156
183.jpg,275,183,can,161,35,214,144
183.jpg,275,183,can,3,46,68,159
184.jpg,1012,394,can,99,181,186,333
184.jpg,1012,394,can,186,173,273,346
184.jpg,1012,394,can,269,181,360,342
184.jpg,1012,394,can,360,173,456,351
184.jpg,1012,394,can,465,181,547,364
184.jpg,1012,394,can,560,173,647,364
184.jpg,1012,394,can,647,203,730,364
184.jpg,1012,394,can,730,225,812,364
184.jpg,1012,394,can,378,64,452,146
184.jpg,1012,394,can,452,68,534,160
184.jpg,1012,394,can,530,64,595,151
185.jpg,310,163,can,41,13,115,157
185.jpg,310,163,can,120,11,193,157
185.jpg,310,163,can,198,14,272,155
186.jpg,275,183,can,1,18,59,128
186.jpg,275,183,can,65,31,115,141
186.jpg,275,183,can,122,28,180,141
186.jpg,275,183,can,187,31,249,145
186.jpg,275,183,can,254,36,275,130
187.jpg,700,525,can,36,102,236,428
187.jpg,700,525,can,274,78,448,402
187.jpg,700,525,can,477,75,648,375
188.jpg,301,167,can,1,25,84,165
188.jpg,301,167,can,153,27,227,147
188.jpg,301,167,can,227,28,299,148
189.jpg,800,1094,can,28,518,348,852
190.jpg,225,225,can,6,38,105,200
190.jpg,225,225,can,109,39,220,202
191.jpg,960,664,can,106,58,478,642
192.jpg,468,298,can,60,37,205,292
192.jpg,468,298,can,268,43,382,298
192.jpg,468,298,can,209,29,273,235
192.jpg,468,298,can,1,31,70,231
192.jpg,468,298,can,417,24,468,209
193.jpg,736,736,can,375,12,682,666
194.jpg,299,168,can,28,1,112,154
194.jpg,299,168,can,111,4,199,168
194.jpg,299,168,can,199,4,278,164
195.jpg,800,800,can,385,118,685,685
195.jpg,800,800,can,48,328,395,665
196.jpg,615,409,can,426,223,524,390
196.jpg,615,409,can,524,218,601,377
196.jpg,615,409,can,342,210,424,372
196.jpg,615,409,can,390,1,485,200
196.jpg,615,409,can,485,3,583,187
196.jpg,615,409,can,308,1,395,215
198.jpg,275,183,can,28,42,234,156
199.jpg,300,168,can,174,39,223,131
199.jpg,300,168,can,128,34,177,143
199.jpg,300,168,can,79,38,133,136
200.jpg,510,309,can,243,70,353,283
200.jpg,510,309,can,353,74,477,287
200.jpg,510,309,can,36,123,98,242
200.jpg,510,309,can,100,119,170,247
201.jpg,800,536,can,141,69,388,449
201.jpg,800,536,can,401,173,591,529
202.jpg,459,462,can,41,3,185,262
202.jpg,459,462,can,245,6,378,249
203.jpg,225,225,can,5,10,224,221
204.jpg,318,159,can,157,61,300,159
205.jpg,712,407,can,23,2,223,390
205.jpg,712,407,can,248,14,454,399
205.jpg,712,407,can,478,5,700,407
206.jpg,290,174,can,95,1,188,156
207.jpg,268,188,can,26,37,110,177
207.jpg,268,188,can,161,37,247,171
208.jpg,640,420,can,45,60,209,420
208.jpg,640,420,can,148,11,333,420
209.jpg,277,182,can,86,11,155,150
209.jpg,277,182,can,159,12,219,161
209.jpg,277,182,can,220,20,277,164
209.jpg,277,182,can,33,7,89,139
210.jpg,220,165,can,125,2,215,159
211.jpg,275,183,can,50,68,99,167
211.jpg,275,183,can,137,71,172,159
211.jpg,275,183,can,173,74,218,166
211.jpg,275,183,can,100,71,137,154
211.jpg,275,183,can,14,73,53,165
212.jpg,284,177,can,94,52,128,134
213.jpg,279,181,can,83,8,158,179
214.jpg,267,189,can,16,12,188,131
215.jpg,259,194,can,173,25,223,89
215.jpg,259,194,can,224,66,259,123
215.jpg,259,194,can,183,81,223,143
215.jpg,259,194,can,157,161,237,193
216.jpg,275,183,can,177,148,195,180
216.jpg,275,183,can,74,60,100,103
216.jpg,275,183,can,5,120,35,143
216.jpg,275,183,can,20,3,44,50
216.jpg,275,183,can,90,20,107,58
217.jpg,259,194,can,82,56,152,160
217.jpg,259,194,can,145,79,237,166
217.jpg,259,194,can,128,5,180,91
217.jpg,259,194,can,34,43,97,125
218.jpg,259,194,can,11,19,102,168
218.jpg,259,194,can,98,3,172,173
218.jpg,259,194,can,177,56,259,191
219.jpg,259,194,can,81,54,155,162
219.jpg,259,194,can,148,70,231,161
219.jpg,259,194,can,136,12,176,99
220.jpg,224,224,can,169,69,220,166
220.jpg,224,224,can,69,62,124,158
220.jpg,224,224,can,120,64,169,163
220.jpg,224,224,can,14,63,67,169
221.jpg,262,192,can,12,68,99,168
221.jpg,262,192,can,79,58,139,148
221.jpg,262,192,can,119,54,162,118
222.jpg,202,250,can,66,148,107,248
222.jpg,202,250,can,112,156,159,250
222.jpg,202,250,can,159,156,202,248
223.jpg,260,194,can,183,81,231,183
223.jpg,260,194,can,24,65,84,178
224.jpg,264,191,can,181,28,252,156
224.jpg,264,191,can,98,31,166,158
224.jpg,264,191,can,11,15,87,166
225.jpg,225,150,can,13,5,73,120
225.jpg,225,150,can,80,8,137,129
225.jpg,225,150,can,143,9,202,125
226.jpg,300,168,can,7,19,79,124
226.jpg,300,168,can,93,37,168,151
226.jpg,300,168,can,212,61,295,168
226.jpg,300,168,can,188,7,234,102
227.jpg,225,225,can,96,97,132,165
227.jpg,225,225,can,131,101,166,161
227.jpg,225,225,can,58,97,98,178
227.jpg,225,225,can,186,56,224,130
227.jpg,225,225,can,14,63,55,130
228.jpg,259,194,can,62,11,143,170
228.jpg,259,194,can,151,9,236,173
229.jpg,275,183,can,58,31,138,92
229.jpg,275,183,can,69,107,155,146
229.jpg,275,183,can,139,43,234,127
230.jpg,252,200,can,39,102,168,164
230.jpg,252,200,can,137,50,223,153
230.jpg,252,200,can,73,22,132,107
231.jpg,266,190,can,30,22,101,162
231.jpg,266,190,can,93,27,168,164
231.jpg,266,190,can,171,28,242,175
232.jpg,361,139,can,85,5,146,139
232.jpg,361,139,can,30,2,86,137
232.jpg,361,139,can,150,14,197,121
232.jpg,361,139,can,202,23,242,137
232.jpg,361,139,can,245,32,280,120
233.jpg,288,175,can,103,30,198,173
233.jpg,288,175,can,28,53,108,175
233.jpg,288,175,can,187,12,271,175
234.jpg,269,188,can,109,109,150,188
234.jpg,269,188,can,159,112,198,182
234.jpg,269,188,can,203,98,246,177
234.jpg,269,188,can,34,97,73,168
234.jpg,269,188,can,81,77,118,171
235.jpg,299,168,can,6,38,63,163
235.jpg,299,168,can,123,48,173,159
235.jpg,299,168,can,182,46,238,162
235.jpg,299,168,can,244,48,299,160
236.jpg,242,208,can,92,119,125,188
236.jpg,242,208,can,124,114,151,187
236.jpg,242,208,can,61,117,91,186
236.jpg,242,208,can,155,117,185,188
236.jpg,242,208,can,30,107,63,186
236.jpg,242,208,can,179,113,198,174
236.jpg,242,208,can,194,100,222,164
236.jpg,242,208,can,221,97,242,158
236.jpg,242,208,can,16,105,29,171
237.jpg,302,167,can,30,14,111,166
237.jpg,302,167,can,113,2,178,148
237.jpg,302,167,can,184,52,285,137
238.jpg,260,194,can,115,70,173,184
238.jpg,260,194,can,175,23,236,184
239.jpg,201,250,can,144,11,201,206
239.jpg,201,250,can,2,38,48,182
240.jpg,270,187,can,105,40,171,179
241.jpg,284,178,can,143,74,185,164
241.jpg,284,178,can,192,72,235,162
241.jpg,284,178,can,56,48,91,151
241.jpg,284,178,can,21,45,56,141
241.jpg,284,178,can,230,55,262,148
242.jpg,275,183,can,205,23,254,171
242.jpg,275,183,can,164,19,198,152
242.jpg,275,183,can,132,5,164,144
242.jpg,275,183,can,98,11,131,126
242.jpg,275,183,can,26,50,76,156
242.jpg,275,183,can,70,35,106,141
243.jpg,260,194,can,17,51,73,152
243.jpg,260,194,can,134,39,165,147
244.jpg,233,216,can,187,106,211,162
244.jpg,233,216,can,30,109,53,153
245.jpg,362,139,can,1,5,66,135
245.jpg,362,139,can,48,1,115,139
245.jpg,362,139,can,96,14,153,134
245.jpg,362,139,can,151,6,200,139
245.jpg,362,139,can,206,8,260,139
245.jpg,362,139,can,262,26,304,139
245.jpg,362,139,can,312,6,351,139
246.jpg,275,183,can,15,2,89,142
246.jpg,275,183,can,74,18,143,146
246.jpg,275,183,can,137,44,199,183
247.jpg,276,183,can,13,87,51,167
247.jpg,276,183,can,213,19,245,88
247.jpg,276,183,can,31,2,77,89
247.jpg,276,183,can,235,92,265,171
247.jpg,276,183,can,98,85,124,171
247.jpg,276,183,can,158,82,181,172
247.jpg,276,183,can,186,91,217,175
247.jpg,276,183,can,68,91,101,173
247.jpg,276,183,can,130,29,155,79
247.jpg,276,183,can,158,35,185,95
247.jpg,276,183,can,183,33,205,82
247.jpg,276,183,can,81,26,104,80
247.jpg,276,183,can,107,30,128,85
248.jpg,296,170,can,153,66,180,134
248.jpg,296,170,can,180,70,211,132
249.jpg,284,177,can,102,14,181,176
250.jpg,276,183,can,100,1,160,149
251.jpg,259,194,can,55,14,126,177
251.jpg,259,194,can,127,10,191,181
251.jpg,259,194,can,204,62,257,191
251.jpg,259,194,can,14,27,52,184
252.jpg,246,205,can,43,27,124,201
252.jpg,246,205,can,163,7,208,76
252.jpg,246,205,can,136,72,169,133
252.jpg,246,205,can,173,73,212,139
252.jpg,246,205,can,213,73,246,136
252.jpg,246,205,can,135,139,166,201
252.jpg,246,205,can,176,143,208,205
252.jpg,246,205,can,214,142,246,203
253.jpg,329,153,can,11,82,44,147
254.jpg,259,194,can,32,50,98,167
254.jpg,259,194,can,102,50,169,166
254.jpg,259,194,can,170,49,241,186
255.jpg,297,170,can,43,43,84,146
255.jpg,297,170,can,92,33,135,150
255.jpg,297,170,can,139,40,177,149
255.jpg,297,170,can,182,38,218,149
255.jpg,297,170,can,230,54,269,154
256.jpg,286,176,can,22,1,69,84
256.jpg,286,176,can,80,2,123,73
256.jpg,286,176,can,128,1,163,78
256.jpg,286,176,can,168,4,213,76
256.jpg,286,176,can,223,7,267,72
256.jpg,286,176,can,243,82,286,158
256.jpg,286,176,can,194,92,234,159
256.jpg,286,176,can,148,83,187,161
256.jpg,286,176,can,101,83,138,166
256.jpg,286,176,can,53,90,94,163
256.jpg,286,176,can,3,75,49,160
257.jpg,197,256,can,1,6,102,221
258.jpg,275,183,can,42,46,60,89
258.jpg,275,183,can,57,50,73,85
259.jpg,261,193,can,26,24,96,171
259.jpg,261,193,can,94,16,165,181
259.jpg,261,193,can,163,26,235,175
260.jpg,259,194,can,82,9,128,106
260.jpg,259,194,can,130,8,176,110
260.jpg,259,194,can,182,12,228,106
260.jpg,259,194,can,77,103,133,194
260.jpg,259,194,can,139,99,187,192
260.jpg,259,194,can,184,94,233,194
261.jpg,224,225,can,36,38,97,140
261.jpg,224,225,can,116,46,169,147
261.jpg,224,225,can,39,134,108,215
261.jpg,224,225,can,119,142,171,218
262.jpg,300,168,can,45,18,110,154
262.jpg,300,168,can,120,17,183,156
262.jpg,300,168,can,189,13,255,154
263.jpg,252,200,can,54,33,111,150
263.jpg,252,200,can,130,76,213,136
264.jpg,259,194,can,31,59,105,178
264.jpg,259,194,can,107,57,155,164
264.jpg,259,194,can,160,54,209,153
264.jpg,259,194,can,216,46,259,159
265.jpg,300,168,can,50,49,90,124
265.jpg,300,168,can,104,46,145,123
265.jpg,300,168,can,160,46,212,127
265.jpg,300,168,can,220,27,270,128
266.jpg,275,183,can,126,91,172,175
266.jpg,275,183,can,183,66,219,157
266.jpg,275,183,can,83,72,126,157
266.jpg,275,183,can,112,12,149,90
266.jpg,275,183,can,154,12,185,84
267.jpg,200,124,can,4,3,196,118
268.jpg,280,180,can,76,1,268,161
269.jpg,260,194,can,114,58,174,140
269.jpg,260,194,can,102,133,220,194
269.jpg,260,194,can,179,50,231,140
271.jpg,194,259,can,63,6,135,132
271.jpg,194,259,can,115,126,163,231
271.jpg,194,259,can,38,115,102,239
272.jpg,282,179,can,73,111,100,147
272.jpg,282,179,can,117,93,140,145
272.jpg,282,179,can,177,100,195,136
272.jpg,282,179,can,195,93,215,124
273.jpg,275,183,can,4,51,37,108
273.jpg,275,183,can,38,53,66,95
273.jpg,275,183,can,72,52,101,98
273.jpg,275,183,can,105,50,129,84
273.jpg,275,183,can,137,54,165,92
273.jpg,275,183,can,170,42,205,92
274.jpg,238,212,can,92,84,136,184
274.jpg,238,212,can,13,70,54,164
274.jpg,238,212,can,50,79,89,174
274.jpg,238,212,can,182,13,226,105
274.jpg,238,212,can,145,25,192,112
275.jpg,275,183,can,190,18,257,166
275.jpg,275,183,can,109,28,177,165
275.jpg,275,183,can,27,20,92,180
276.jpg,297,170,can,192,2,276,161
276.jpg,297,170,can,105,1,190,158
277.jpg,259,194,can,159,124,227,178
277.jpg,259,194,can,89,1,151,55
277.jpg,259,194,can,51,96,105,168
277.jpg,259,194,can,177,48,203,111
277.jpg,259,194,can,94,105,134,171
278.jpg,259,194,can,4,28,43,105
278.jpg,259,194,can,44,34,83,108
278.jpg,259,194,can,81,36,114,108
278.jpg,259,194,can,117,9,152,108
278.jpg,259,194,can,151,35,177,103
278.jpg,259,194,can,183,38,210,103
278.jpg,259,194,can,216,36,251,107
279.jpg,259,194,can,23,65,75,156
279.jpg,259,194,can,70,54,111,143
279.jpg,259,194,can,97,89,160,149
280.jpg,640,490,can,59,316,299,446
280.jpg,640,490,can,262,197,383,446
281.jpg,300,168,can,77,22,114,141
281.jpg,300,168,can,119,12,155,132
281.jpg,300,168,can,159,27,193,132
281.jpg,300,168,can,193,14,252,143
282.jpg,318,159,can,234,46,285,146
282.jpg,318,159,can,42,30,95,131
283.jpg,201,250,can,100,78,186,231
284.jpg,300,168,can,45,6,143,161
284.jpg,300,168,can,183,117,263,164
285.jpg,237,213,can,5,3,120,210
285.jpg,237,213,can,127,6,227,202
286.jpg,292,172,can,203,20,262,140
286.jpg,292,172,can,20,25,86,140
287.jpg,269,187,can,103,10,200,171
288.jpg,259,194,can,123,35,232,173
289.jpg,225,225,can,45,4,188,220
290.jpg,259,194,can,116,22,227,169
291.jpg,276,182,can,24,8,275,182
292.jpg,267,189,can,85,81,182,134
292.jpg,267,189,can,19,56,67,144
292.jpg,267,189,can,92,13,130,74
292.jpg,267,189,can,48,29,86,104
292.jpg,267,189,can,187,48,239,133
292.jpg,267,189,can,138,7,173,71
292.jpg,267,189,can,177,28,202,96
293.jpg,225,225,can,74,35,156,188
294.jpg,269,188,can,48,63,242,173
295.jpg,183,275,can,15,3,175,263
296.jpg,198,254,can,44,35,160,194
297.jpg,217,232,can,40,5,109,152
297.jpg,217,232,can,69,96,204,219
298.jpg,217,232,can,53,10,176,201
299.jpg,259,194,can,9,11,259,193
301.jpg,255,198,can,87,38,175,193
302.jpg,194,259,can,56,38,139,163
303.jpg,300,168,can,20,108,88,168
303.jpg,300,168,can,126,72,174,158
303.jpg,300,168,can,182,51,212,127
304.jpg,337,150,can,63,49,91,89
304.jpg,337,150,can,231,84,266,117
304.jpg,337,150,can,194,12,232,45
304.jpg,337,150,can,163,74,189,123
304.jpg,337,150,can,1,73,26,128
304.jpg,337,150,can,2,9,34,48
304.jpg,337,150,can,96,45,135,73
304.jpg,337,150,can,203,76,228,100
304.jpg,337,150,can,273,88,305,128
304.jpg,337,150,can,257,30,281,72
305.jpg,275,183,can,14,6,169,165
306.jpg,225,225,can,17,2,208,211
307.jpg,210,230,can,26,6,187,224
308.jpg,282,179,can,73,21,220,167
309.jpg,259,194,can,126,105,238,194
309.jpg,259,194,can,48,22,79,65
309.jpg,259,194,can,113,21,166,60
309.jpg,259,194,can,197,21,259,85
309.jpg,259,194,can,1,110,41,153
309.jpg,259,194,can,55,69,92,142
310.jpg,318,159,can,123,108,155,151
311.jpg,272,186,can,3,4,92,182
311.jpg,272,186,can,96,5,185,182
311.jpg,272,186,can,187,3,272,183
312.jpg,300,168,can,222,98,285,143
312.jpg,300,168,can,153,40,194,72
312.jpg,300,168,can,46,72,88,98
312.jpg,300,168,can,151,118,197,168
312.jpg,300,168,can,85,10,127,50
312.jpg,300,168,can,155,76,199,107
312.jpg,300,168,can,198,40,235,67
312.jpg,300,168,can,54,121,112,166
312.jpg,300,168,can,227,73,283,97
312.jpg,300,168,can,93,74,127,115
312.jpg,300,168,can,2,60,40,101
313.jpg,276,183,can,38,43,219,159
314.jpg,237,213,can,39,23,123,178
314.jpg,237,213,can,125,22,205,181
315.jpg,259,194,can,9,28,111,94
316.jpg,225,225,can,7,28,165,156
317.jpg,302,167,can,163,40,213,164
317.jpg,302,167,can,219,45,269,142
317.jpg,302,167,can,80,30,115,111
317.jpg,302,167,can,125,25,156,86
